"","hhID","X_gps_latitude","X_gps_longitude"
"392",1050606,-0.89269466,35.23395844
"399",1010507,-0.7659338,35.24096823
"401",1010501,-0.76177674,35.23524417
"402",1010502,-0.76331763,35.24287538
"403",1050603,-0.89188133,35.23595138
"404",1050604,-0.89352533,35.23223406
"405",1050503,-0.9328289,35.1307487
"406",1050504,-0.9324688,35.1301518
"407",1050303,-1.00113693,35.2557119
"409",1050301,-0.98916441,35.25539555
"411",1050307,-0.99177942,35.25288946
"412",1050308,-0.98970277,35.25193333
"415",1050309,-0.99361612,35.25798665
"416",1050310,-0.99532062,35.25808495
"420",1050306,-0.99792382,35.25726013
"421",1050703,-0.82467094,35.18323311
"423",1020309,-0.84132904,35.45080653
"428",1020301,-0.83679493,35.4445281
"431",1050707,-0.82249955,35.1823376
"432",1020307,-0.83482866,35.45065058
"434",1020308,-0.84158204,35.4535554
"435",1050701,-0.82345797,35.18558955
"439",1040411,-0.66374534,35.16643892
"440",1040412,-0.66725325,35.16024932
"442",1040406,-0.6620819,35.1548878
"444",1040416,-0.65930813,35.16869487
"448",1040408,-0.66260427,35.16159803
"449",1040409,-0.66114917,35.15952495
"451",1040417,-0.66742196,35.15491927
"455",1040401,-0.66236508,35.15528279
"457",1050507,-0.93549989,35.1332476
"458",1040209,-0.80913142,35.0963618
"466",1040203,-0.81390597,35.10078975
"467",1040204,-0.81583583,35.08855106
"469",1040202,-0.8207202,35.08046314
"473",1040208,-0.82164127,35.07991064
"474",1040215,-0.81636391,35.09370135
"477",1020706,-0.92175058,35.36183335
"478",1020701,-0.92896202,35.36647237
"479",1020702,-0.929299,35.36673667
"481",1020704,-0.9225688,35.36545804
"482",1040501,-0.7775593,35.1594064
"486",1040505,-0.77680725,35.15400999
"487",1040506,-0.77798434,35.15689792
"488",1040507,-0.77650985,35.14961514
"489",1020707,-0.92409073,35.36067831
"493",1040221,-0.81528371,35.0926185
"494",1040222,-0.82108636,35.09415357
"495",1010203,-0.71733353,35.37735339
"497",1010205,-0.715548,35.3739153
"499",1040701,-0.87297907,35.13224852
"500",1040702,-0.87392393,35.13561698
"506",1040703,-0.86787841,35.13463113
"508",1010201,-0.71783341,35.37317974
"510",1040101,-0.7252,35.078753
"511",1040102,-0.7286529,35.0821947
"514",1040107,-0.72564015,35.08398592
"515",1040108,-0.72277944,35.08213724
"518",1040606,-0.88762579,35.04569236
"521",1040603,-0.88876845,35.04841599
"523",1040601,-0.88964118,35.05099014
"524",1040602,-0.89209424,35.05110561
"526",1040302,-0.67636508,35.06804967
"527",1040805,-0.69711999,35.18484934
"528",1040806,-0.69192804,35.18758213
"529",1040305,-0.68033224,35.07046538
"531",1040803,-0.69570263,35.18962633
"532",1040804,-0.69116175,35.18682918
"534",1041007,-0.73917027,35.203969
"538",1040801,-0.69020097,35.18962917
"540",1040303,-0.677918,35.06920611
"541",1040304,-0.67432197,35.07368229
"542",1041006,-0.7395522,35.2150707
"544",1020112,-0.8476551,35.4145252
"546",1020102,-0.86157202,35.41405313
"550",1041002,-0.73572616,35.20170534
"553",1050111,-0.85195056,35.30154736
"555",1020104,-0.85685817,35.4119705
"556",1010511,-0.76563602,35.23497514
"557",1010309,-0.67225317,35.34075396
"558",1010310,-0.66834205,35.33129674
"562",1010314,-0.6712737,35.3433812
"563",1010315,-0.66850363,35.32932157
"564",1010316,-0.66644503,35.32954062
"567",1020503,-0.8558755,35.3656707
"569",1020505,-0.86045188,35.36979228
"571",1020501,-0.8509245,35.372287
"573",1010317,-0.67089465,35.33733463
"574",1010318,-0.66784768,35.33107095
"575",1020403,-0.79564985,35.37420908
"576",1020404,-0.79493658,35.37229178
"581",1020409,-0.7976367,35.372801
"582",1020410,-0.79845173,35.37351188
"587",1020405,-0.79041791,35.3750873
"588",1020406,-0.79455414,35.37099026
"589",1020105,-0.85131293,35.41668329
"590",1020106,-0.84975081,35.41695113
"592",1010304,-0.67013052,35.33563603
"596",1040911,-0.72238516,35.13739369
"597",1040912,-0.72416524,35.13691966
"599",1041009,-0.73585065,35.20178084
"600",1040904,-0.72407773,35.14705268
"602",1040907,-0.7253289,35.1471257
"604",1040908,-0.7252536,35.1459116
"605",1040905,-0.72569872,35.14658168
"609",1040902,-0.72840665,35.14177038
"610",1010109,-0.73776032,35.31757598
"617",1030209,-0.60144746,35.35780508
"620",1030202,-0.6053427,35.3566843
"626",1010106,-0.73864274,35.31292559
"627",1030211,-0.6080874,35.35202691
"629",1010415,-0.69180725,35.26466411
"630",1010416,-0.6902076,35.27050883
"631",1010107,-0.73712193,35.31826416
"633",1010101,-0.74004972,35.3164373
"634",1010102,-0.73919652,35.31995713
"637",1010407,-0.69515346,35.26398436
"638",1010408,-0.69722647,35.26322075
"639",1010409,-0.6906539,35.2650236
"641",1010401,-0.69131338,35.26976086
"649",1030513,-0.52286333,35.22462457
"650",1030514,-0.52300877,35.22510924
"652",1030604,-0.59397101,35.23843164
"655",1030501,-0.5241398,35.21587736
"656",1030502,-0.52551998,35.21766727
"659",1030601,-0.59434009,35.23955833
"661",1030511,-0.52135792,35.2248254
"664",1030508,-0.52202346,35.22082147
"670",1020206,-0.8037667,35.480215
"672",1020608,-0.90157815,35.40214738
"674",1020603,-0.90556637,35.40308568
"675",1020202,-0.80368272,35.47523228
"676",1020604,-0.90428597,35.40433447
"677",1020605,-0.90640871,35.40674817
"678",1020606,-0.91054891,35.40804346
"679",1020609,-0.90586885,35.40863948
"681",1020601,-0.90524967,35.40536488
"682",1020602,-0.90522411,35.40346201
"685",1030101,-0.62780377,35.29344229
"689",1030401,-0.56514537,35.3798681
"690",1030402,-0.56643199,35.37693976
"695",1030105,-0.62836958,35.29621003
"698",1030304,-0.62120062,35.3926603
"699",1030103,-0.62941527,35.3011497
"702",3030208,-0.6771751,37.075456
"704",3030204,-0.67658359,37.07038763
"706",3030202,-0.67725071,37.07289292
"716",3020608,-0.7670597,36.9609309
"732",3020612,-0.76701931,36.96248747
"736",3030702,-0.80162266,37.16297871
"737",3020623,-0.7652028,36.9617866
"738",3020624,-0.7627844,36.9620622
"741",3030706,-0.80618132,37.16462884
"744",3030708,-0.80417914,37.16257796
"745",3020617,-0.76367354,36.9656785
"747",3020619,-0.76273895,36.96255759
"751",3010606,-0.8223602,36.8807281
"756",3010609,-0.82023959,36.87247136
"760",3010402,-0.76202055,36.8094496
"763",3030507,-0.77108833,37.24665589
"764",3030508,-0.77038795,37.24688921
"765",3031803,-1.06466132,37.35031176
"766",3031804,-1.06207966,37.35031126
"767",3031805,-1.05862817,37.35097433
"768",3031806,-1.05634299,37.35543587
"773",3030501,-0.767041,37.2386493
"774",3030502,-0.7663634,37.237577
"777",3030509,-0.7710811,37.2431115
"779",3031606,-0.9702203,37.0100819
"780",3031605,-0.970731,37.0097145
"782",3031801,-1.06406422,37.3581179
"783",3031802,-1.06422613,37.35398753
"785",3031602,-0.97250205,37.01564656
"786",3030505,-0.7717628,37.24616443
"787",3030506,-0.77404886,37.24540613
"792",3010506,-0.79204158,36.92669671
"795",3010203,-0.6660119,36.8650268
"797",3020203,-0.6314679,37.0680531
"798",3020204,-0.631349,37.0691022
"799",3020201,-0.63049177,37.07218335
"802",3030503,-0.7725567,37.24738433
"804",3030504,-0.77317158,37.24783845
"806",3010502,-0.7923327,36.92660633
"811",3031401,-0.9467287,37.1456678
"812",3031402,-0.9489114,37.1489848
"813",3031001,-0.86386155,37.10840509
"817",3031403,-0.9575651,37.1478264
"818",3031404,-0.9528945,37.1477539
"823",3031406,-0.94797678,37.15862695
"825",3031407,-0.93971236,37.1473611
"849",3030906,-0.85855792,37.16971801
"850",3031106,-0.94430765,37.07524167
"856",3031110,-0.9351458,37.06531725
"859",3031108,-0.93328774,37.06697082
"867",3031122,-0.93456916,37.06830081
"870",3030903,-0.85288178,37.17158468
"871",3030903,-0.85288178,37.17158468
"897",3020806,-0.86681865,37.01534989
"900",3020908,-0.88089571,36.97915317
"904",3020907,-0.88402646,36.98186717
"909",3020804,-0.8627135,37.01858616
"910",3020811,-0.86385593,37.0209323
"912",3020705,-0.80738591,37.00063816
"913",3020819,-0.86626456,37.02101675
"919",3020818,-0.8653063,37.0199123
"922",3020701,-0.80656958,37.00204437
"926",3030811,-0.8062085,37.0814552
"938",3030803,-0.80573762,37.07772633
"948",3020305,-0.6473378,37.008551
"950",3030813,-0.80106779,37.08727754
"955",3010102,-0.61649475,36.89048599
"961",3031305,-0.95710223,37.28642989
"964",3031304,-0.94994149,37.28461408
"965",3031308,-0.94755878,37.28591769
"968",3031704,-1.03183985,37.33035755
"969",3031502,-0.97495211,37.3355499
"970",3031501,-0.97409831,37.33479954
"971",3031503,-0.96679025,37.33560967
"972",3031504,-0.96777702,37.33614927
"973",3031705,-1.03472539,37.33908952
"974",3031706,-1.03514011,37.34010529
"975",3031505,-0.9667292,37.3361807
"976",3031707,-1.0358086,37.3404539
"977",3031302,-0.95931815,37.28900626
"980",3031702,-1.02762231,37.33755292
"982",3031312,-0.9526148,37.2856925
"989",3020404,-0.68875103,36.9826999
"991",3020505,-0.73942793,37.02796498
"998",3010702,-0.8648357,36.85856475
"1004",3030309,-0.69389141,37.21364421
"1006",3030301,-0.7116456,37.214006
"1007",3030302,-0.7047106,37.2148388
"1010",3030305,-0.69797176,37.21476524
"1011",3030306,-0.69742108,37.21619792
"1015",3030406,-0.7368265,37.1494765
"1016",3030307,-0.70232886,37.21279305
"1017",3030308,-0.70329937,37.21113633
"1021",3010703,-0.85764272,36.84949872
"1022",3030303,-0.69268263,37.21583608
"1023",3030304,-0.69301266,37.21584314
"1027",3031212,-0.92857737,37.14863005
"1030",3031208,-0.92319711,37.15866019
"1031",3031207,-0.92888071,37.15665571
"1032",3031213,-0.9111731,37.162733
"1034",3031201,-0.93119392,37.15126607
"1035",3031202,-0.92899801,37.15361024
"1036",3031217,-0.91572419,37.15941182
"1044",3030417,-0.7317741,37.1478075
"1045",3030409,-0.73053378,37.14231688
"1047",3030413,-0.73043762,37.13604182
"1051",3030416,-0.73228869,37.14162533
